ticketID|status
1111257653|Waiting
1112142423|Waiting
1112525741|Resolved
1112998914|Waiting
1113782244|Waiting
1115848461|In progress
1116651481|Waiting
1117495147|Waiting
1117866784|Waiting
1118266548|Waiting
1122346653|Waiting
1127762561|Resolved
1127829973|Waiting
1129525581|Resolved
1132152843|Waiting
1135677833|In progress
1135799427|Resolved
1145622865|In progress
1145915591|Waiting
1146324683|Waiting
1149659187|Waiting
1151292664|Waiting
1151912813|Waiting
1152229549|In progress
1152665691|In progress
1153758452|Resolved
1155313252|Waiting
1155761316|Waiting
1155999977|In progress
1157641446|Resolved
1159862819|Waiting
1164497691|Waiting
1164748589|Waiting
1171867367|Resolved
1172847614|Waiting
1173469121|Waiting
1176793575|In progress
1177118623|In progress
1177648216|In progress
1181234592|In progress
1181351318|Resolved
1183766678|Waiting
1184212242|Waiting
1187324875|In progress
1187649954|In progress
1189327499|Resolved
1191682276|Resolved
1193424327|Waiting
1194216973|Resolved
1195319835|Resolved
1195878384|In progress
1197553581|Resolved
1197662965|Resolved
1198492539|Waiting
1199861982|In progress
1211231653|Resolved
1213546344|In progress
1213572577|Resolved
1217574984|Resolved
1217636632|Waiting
1227663228|Waiting
1229324465|Waiting
1233346398|In progress
1236498192|Waiting
1238851892|Waiting
1243782829|Resolved
1245594456|In progress
1245738277|Resolved
1245955559|Waiting
1252386441|Waiting
1254673422|In progress
1254726383|In progress
1255999477|In progress
1256794398|In progress
1257478245|Resolved
1257495333|Waiting
1259116146|Waiting
1259666341|In progress
1262476275|Resolved
1266575153|In progress
1267338872|Resolved
1271431113|Resolved
1273764493|Waiting
1274584154|Waiting
1275315145|Waiting
1276148371|Resolved
1281617768|In progress
1284515326|Waiting
1285456375|In progress
1285625842|Waiting
1285795183|Resolved
1287169899|In progress
1288919335|Resolved
1288985756|Waiting
1299899228|Waiting
1311515232|Waiting
1313137915|In progress
1313234677|In progress
1313462149|In progress
1314353327|In progress
1317914375|Waiting
1325891534|Resolved
1329918494|Resolved
1332171242|Waiting
1332537857|Waiting
1335488554|Resolved
1346816466|Waiting
1349656575|In progress
1349865936|In progress
1349957947|Resolved
1353535872|Waiting
1355418792|Waiting
1359227418|Waiting
1362726142|Waiting
1366893841|In progress
1368824783|Resolved
1371954693|Resolved
1372674687|In progress
1373223778|In progress
1374246236|In progress
1375631463|Waiting
1376268865|Resolved
1377192344|Waiting
1377464998|In progress
1379976547|Waiting
1381126984|Waiting
1381283243|Resolved
1382281484|Waiting
1383366672|Resolved
1383917982|Waiting
1386334618|Resolved
1387583611|In progress
1395319395|In progress
1396437253|In progress
1396789432|Waiting
1397138178|Resolved
1397514392|In progress
1397562157|Resolved
1398221737|In progress
1398941112|In progress
1413339417|Resolved
1414461154|In progress
1414827282|In progress
1417125628|In progress
1417488335|In progress
1421522693|Waiting
1422743949|Waiting
1423717948|Waiting
1424173934|Waiting
1425872285|Waiting
1429932526|Resolved
1432176344|Resolved
1432291232|In progress
1433337494|Resolved
1436778684|In progress
1438123378|Resolved
1443527579|In progress
1444468354|In progress
1445558948|Waiting
1446711512|Resolved
1449173691|Resolved
1449935427|In progress
1452599158|In progress
1453793928|In progress
1454563572|In progress
1456871864|Waiting
1458896873|Waiting
1467443556|In progress
1469316199|Resolved
1472667834|In progress
1472697721|Waiting
1474239554|In progress
1475947671|Waiting
1478861177|Waiting
1481589949|In progress
1483218596|Resolved
1484521796|Resolved
1485686963|In progress
1489987676|Waiting
1495651497|Waiting
1496861413|Resolved
1498293955|Waiting
1498518872|In progress
1499931174|In progress
1512348732|In progress
1513481693|Resolved
1513654751|Resolved
1515824236|Resolved
1516716452|In progress
1521315734|Resolved
1521749377|Resolved
1523157769|Waiting
1523462745|In progress
1523824236|Waiting
1526458496|In progress
1529874325|Resolved
1532294529|Waiting
1534627381|In progress
1536378193|Waiting
1537645946|Resolved
1537848713|Waiting
1538473245|Resolved
1539351966|Resolved
1544448776|Resolved
1544587484|Waiting
1544959546|In progress
1548184554|Waiting
1554154559|Waiting
1554443758|Resolved
1556913596|Resolved
1557387857|In progress
1559127541|Resolved
1559663375|Resolved
1561628589|Resolved
1571772368|Waiting
1574565754|Resolved
1575232726|Resolved
1578816871|Resolved
1579246656|Resolved
1583459744|In progress
1584226577|Waiting
1586962426|Waiting
1591341864|Waiting
1591661739|Waiting
1591757117|Resolved
1596288886|In progress
1599897659|Waiting
1612597159|Resolved
1613822753|Resolved
1615327145|Resolved
1615477132|Resolved
1616124217|In progress
1624621589|Resolved
1625722439|Waiting
1638921765|Waiting
1641758683|In progress
1643513728|Waiting
1644535246|In progress
1645612334|Resolved
1646445869|In progress
1647618829|In progress
1648248445|In progress
1648295952|Resolved
1649338917|Waiting
1649765143|Resolved
1652963167|Resolved
1654385884|Resolved
1657454444|Resolved
1659142866|In progress
1661213864|Resolved
1666623661|In progress
1667166261|Resolved
1667312282|In progress
1669278691|Waiting
1672527191|Resolved
1674941833|Resolved
1675629977|In progress
1675836753|Waiting
1678111568|Resolved
1678787936|Waiting
1679524527|Waiting
1681865739|Resolved
1681897888|Waiting
1682198146|In progress
1683643124|In progress
1684676912|Waiting
1689673538|Resolved
1692837964|Resolved
1696157227|Resolved
1698143545|Waiting
1712647979|Waiting
1718665979|Resolved
1721668779|Resolved
1723214843|Waiting
1724846891|Resolved
1725251691|Waiting
1728234122|In progress
1731131221|In progress
1732745943|Waiting
1735679586|Waiting
1736289137|In progress
1738329513|Waiting
1742552531|Resolved
1746853723|Waiting
1748339718|Resolved
1748685452|In progress
1753195313|Waiting
1753411323|Waiting
1754998989|Resolved
1757937171|Resolved
1759951635|In progress
1762243874|In progress
1762417294|In progress
1762478376|In progress
1769946586|Resolved
1773459752|In progress
1775544618|Waiting
1776812991|In progress
1782294318|In progress
1782459327|Resolved
1785289498|Waiting
1785419972|In progress
1786756542|Resolved
1786938214|Resolved
1793938693|In progress
1795964662|Waiting
